Date,Open,High,Low,Close,Adj Close,Volume
2023-02-24,2.026114,2.046675,1.768859,1.842908,1.842908,22455363
2023-02-25,1.842336,1.851374,1.773476,1.825178,1.825178,11638943
2023-02-26,1.825821,2.027057,1.825821,1.933381,1.933381,17155545
2023-02-27,1.933565,1.933565,1.744776,1.780896,1.780896,26444218
2023-02-28,1.781351,1.806516,1.673784,1.676604,1.676604,14276167
2023-03-01,1.676914,1.742272,1.669598,1.716901,1.716901,10930316
2023-03-02,1.716921,1.729036,1.585290,1.649540,1.649540,16864274
2023-03-03,1.649713,1.653102,1.520452,1.546425,1.546425,16570394
2023-03-04,1.547269,1.601808,1.444344,1.470118,1.470118,15136416
2023-03-05,1.470685,1.550331,1.465689,1.534689,1.534689,5201949
2023-03-06,1.534727,1.559111,1.508267,1.544188,1.544188,5639390
2023-03-07,1.544861,1.727123,1.385190,1.711735,1.711735,29834818
2023-03-08,1.711310,1.853482,1.664215,1.679207,1.679207,19693408
2023-03-09,1.678963,1.758268,1.431221,1.571766,1.571766,14089484
2023-03-10,1.571882,1.661989,1.479109,1.660547,1.660547,18047091
2023-03-11,1.660588,1.757654,1.567658,1.593796,1.593796,16224475
2023-03-12,1.595110,1.596285,1.380946,1.518695,1.518695,22337856
2023-03-13,1.519454,1.577602,1.435833,1.524760,1.524760,11917826
2023-03-14,1.525823,1.583382,1.476257,1.516146,1.516146,8665680
2023-03-15,1.515627,1.542801,1.418908,1.418988,1.418988,16035334
2023-03-18,1.325804,1.360646,1.325338,1.359555,1.359555,11576449
